SITE_ID,VISIT_NO,TAXANAME,ABUND,GENUS_CNT,SPECIES_CNT
NLA06608-0001,1,Acari,1,NA,NA
NLA06608-0001,1,Chaoborus,0,Chaoborus,NA
NLA06608-0001,1,Keratella cceo,1,Keratella,cceo
NLA06608-0002,1,Bosmina,2,Bosmina,NA
NLA06608-0002,1,Chaoborus punctipennis,4,Chaoborus,punctipennis
NLA06608-0002,1,Cyclopidae,1,Microcyclops,NA
NLA06608-0002,1,Cyclopidae,18,NA,NA
NLA06608-0002,1,Diaptomidae,2,NA,NA
NLA06608-0002,1,Lecanidae,4,Monostyla,NA
NLA06608-0002,1,Lepadella,1,Lepadella,NA
NLA06608-0002,1,Ploesoma,1,Ploesoma,NA
NLA06608-0002,1,Polyarthra,1,Polyarthra,NA
NLA06608-0002,1,Synchaeta,2,Synchaeta,NA
NLA06608-0002,1,Trichocerca,1,Trichocerca,NA
NLA06608-0002,2,Bosmina,1,Bosmina,NA
NLA06608-0002,2,Cyclopidae,4,NA,NA
NLA06608-0002,2,Diaphanosoma,1,Diaphanosoma,NA
NLA06608-0002,2,Cyclopidae,2,Mesocyclops,NA
NLA06608-0002,2,Cyclopidae,14,NA,NA
NLA06608-0002,2,Daphnia ambigua,2,Daphnia,ambigua
NLA06608-0002,2,Diaphanosoma,2,Diaphanosoma,NA
NLA06608-0002,2,Diaptomidae,5,NA,NA
NLA06608-0002,2,Temoridae,2,Epischura,NA
NLA06608-0002,2,Anuraeopsis,27,Anuraeopsis,fissa
NLA06608-0002,2,Brachionus angularis,2,Brachionus,angularis
NLA06608-0002,2,Conochilidae,10,NA,NA
NLA06608-0002,2,Hexarthra,17,Hexarthra,mira
NLA06608-0002,2,Kellicottia bostoniensis,24,Kellicottia,bostonensis
NLA06608-0002,2,Keratella cceo,7,Keratella,cceo
NLA06608-0002,2,Keratella cceo,4,Keratella,cceo
NLA06608-0002,2,Keratella taurocephala,29,Keratella,taurocephala
NLA06608-0002,2,Lecanidae,6,Monostyla,NA
NLA06608-0002,2,Platyias,1,Platyias,NA
NLA06608-0002,2,Polyarthra,9,Polyarthra,NA
NLA06608-0002,2,Pompholyx,1,Pompholyx,sulcata
NLA06608-0002,2,Anuraeopsis,20,Anuraeopsis,fissa
NLA06608-0002,2,Conochilidae,13,NA,NA
NLA06608-0002,2,Hexarthra,8,Hexarthra,mira
NLA06608-0002,2,Kellicottia bostoniensis,7,Kellicottia,bostonensis
NLA06608-0002,2,Keratella cceo,7,Keratella,cceo
NLA06608-0002,2,Keratella taurocephala,6,Keratella,taurocephala
NLA06608-0002,2,Lecanidae,1,Monostyla,NA
NLA06608-0002,2,Lepadella,1,Lepadella,NA
NLA06608-0002,2,Notommata,1,Notommata,NA
NLA06608-0002,2,Platyias,1,Platyias,NA
NLA06608-0002,2,Ploesoma,2,Ploesoma,NA
NLA06608-0002,2,Polyarthra,4,Polyarthra,NA
NLA06608-0002,2,Synchaeta,1,Synchaeta,NA
NLA06608-0003,1,Cyclopidae,2,NA,NA
NLA06608-0003,1,Anuraeopsis,3,Anuraeopsis,fissa
NLA06608-0003,1,Asplanchna,12,Asplanchna,NA
NLA06608-0003,1,Brachionus angularis,121,Brachionus,angularis
NLA06608-0003,1,Brachionus caudatus,35,Brachionus,caudatus
NLA06608-0003,1,Brachionus havanaensis,10,Brachionus,havanaensis
NLA06608-0003,1,Conochilidae,4,NA,NA
NLA06608-0003,1,Filinia,2,Filinia,NA
NLA06608-0003,1,Gastropus,1,Gastropus,NA
NLA06608-0003,1,Hexarthra,5,Hexarthra,mira
NLA06608-0003,1,Keratella cceo,9,Keratella,cceo
NLA06608-0003,1,Polyarthra,13,Polyarthra,NA
NLA06608-0003,2,None present,0,NA,NA
NLA06608-0003,2,Asplanchna,7,Asplanchna,NA
NLA06608-0003,2,Brachionus angularis,93,Brachionus,angularis
NLA06608-0003,2,Brachionus caudatus,3,Brachionus,caudatus
NLA06608-0003,2,Brachionus havanaensis,8,Brachionus,havanaensis
NLA06608-0003,2,Conochilidae,4,NA,NA
NLA06608-0003,2,Hexarthra,3,Hexarthra,mira
NLA06608-0003,2,Keratella cceo,9,Keratella,cceo
NLA06608-0003,2,Trichocerca,2,Trichocerca,NA
NLA06608-0004,1,Bosmina,2,Bosmina,NA
NLA06608-0004,1,Ceriodaphnia,1,Ceriodaphnia,NA
NLA06608-0004,1,Diaptomidae,6,NA,NA
NLA06608-0004,1,Asplanchna,5,Asplanchna,NA
NLA06608-0004,1,Hexarthra,1,Hexarthra,NA
NLA06608-0004,1,Keratella cceo,366,Keratella,cceo
NLA06608-0004,1,Polyarthra,3,Polyarthra,NA
NLA06608-0004,1,Synchaeta,11,Synchaeta,NA
NLA06608-0004,2,UNID,1,NA,NA
NLA06608-0004,2,Bosmina,38,Bosmina,NA
NLA06608-0004,2,Ceriodaphnia,108,Ceriodaphnia,NA
NLA06608-0004,2,Cyclopidae,30,Diacyclops,NA
NLA06608-0004,2,Cyclopidae,26,NA,NA
NLA06608-0004,2,Diaphanosoma,15,Diaphanosoma,NA
NLA06608-0004,2,Diaptomidae,219,NA,NA
NLA06608-0004,2,Acari,1,NA,NA
NLA06608-0004,2,Bosmina,26,Bosmina,NA
NLA06608-0004,2,Ceriodaphnia,46,Ceriodaphnia,NA
NLA06608-0004,2,Chydoridae,1,Chydorus,sphaericus
NLA06608-0004,2,Cyclopidae,1,Diacyclops,NA
NLA06608-0004,2,Cyclopidae,22,NA,NA
NLA06608-0004,2,Diaptomidae,165,NA,NA
NLA06608-0004,2,Asplanchna,2,Asplanchna,NA
NLA06608-0004,2,Brachionus caudatus,85,Brachionus,caudatus
NLA06608-0004,2,Conochilidae,12,NA,NA
NLA06608-0004,2,Filinia,10,Filinia,NA
NLA06608-0004,2,Hexarthra,23,Hexarthra,NA
